,start,end,movable,start15,end15,room_id,comment,start_o,end_o
2153529,2023-07-26 14:00:00,2023-07-26 20:00:00,0,28,52,2,2153529,2023-07-26 13:00:00,2023-07-26 19:00:00
2154314,2023-07-26 07:00:00,2023-07-26 13:00:00,1,0,24,7,2154314,2023-07-26 07:00:00,2023-07-26 13:00:00
2156716,2023-07-26 07:00:00,2023-07-26 15:00:00,1,0,32,9,2156716,2023-07-26 07:00:00,2023-07-26 15:00:00
2161628,2023-07-26 14:50:00,2023-07-26 22:50:00,1,31,63,6,2161628,2023-07-26 15:05:00,2023-07-26 23:05:00
2183468,2023-07-26 07:00:00,2023-07-26 15:00:00,1,0,32,3,2183468,2023-07-26 07:00:00,2023-07-26 15:00:00
2183519,2023-07-26 07:00:00,2023-07-26 15:00:00,1,0,32,4,2183519,2023-07-26 07:00:00,2023-07-26 15:00:00
2186586,2023-07-26 07:00:00,2023-07-26 13:00:00,1,0,24,5,2186586,2023-07-26 07:00:00,2023-07-26 13:00:00
2188136,2023-07-26 15:00:00,2023-07-26 22:00:00,1,32,60,7,2188136,2023-07-26 15:45:00,2023-07-26 22:45:00
2190481,2023-07-26 16:00:00,2023-07-26 23:00:00,1,36,64,8,2190481,2023-07-26 16:00:00,2023-07-26 23:00:00
2197640,2023-07-26 15:00:00,2023-07-26 22:00:00,1,32,60,9,2197640,2023-07-26 16:00:00,2023-07-26 23:00:00
2220216,2023-07-26 16:30:00,2023-07-26 22:00:00,1,38,60,1,2220216,2023-07-26 17:30:00,2023-07-26 23:00:00
2232438,2023-07-26 07:00:00,2023-07-26 14:00:00,1,0,28,6,2232438,2023-07-26 07:00:00,2023-07-26 14:00:00
2252980,2023-07-26 15:00:00,2023-07-26 22:20:00,1,32,61,5,2252980,2023-07-26 15:30:00,2023-07-26 22:50:00
2254663,2023-07-26 16:00:00,2023-07-26 23:00:00,1,36,64,4,2254663,2023-07-26 16:00:00,2023-07-26 23:00:00
2258150,2023-07-26 20:00:00,2023-07-26 23:00:00,1,52,64,2,2258150,2023-07-26 20:00:00,2023-07-26 23:00:00
2261093,2023-07-26 14:00:00,2023-07-26 16:00:00,1,28,36,7,2261093,2023-07-26 13:30:00,2023-07-26 15:30:00
2261197,2023-07-26 12:00:00,2023-07-26 16:00:00,1,20,36,8,2261197,2023-07-26 11:00:00,2023-07-26 15:00:00
2267432,2023-07-26 07:00:00,2023-07-26 10:00:00,1,0,12,8,2267432,2023-07-26 07:00:00,2023-07-26 10:00:00
2268968,2023-07-26 10:00:00,2023-07-26 12:00:00,1,12,20,2,2268968,2023-07-26 09:00:00,2023-07-26 11:00:00
2269006,2023-07-26 15:00:00,2023-07-26 22:00:00,1,32,60,3,2269006,2023-07-26 16:00:00,2023-07-26 23:00:00
2270024,2023-07-26 07:00:00,2023-07-26 16:10:00,1,0,36,1,2270024,2023-07-26 07:15:00,2023-07-26 16:25:00
2270930,2023-07-26 13:00:00,2023-07-26 15:00:00,1,24,32,5,2270930,2023-07-26 13:15:00,2023-07-26 15:15:00
